00001 | 3
 | 0
00001 | 5
 | 0
00001 | 3
 | 0
 | 0
 | 0
 | 0
 | 0
00001 | 2
 | 0
00003 | 4
 | 0
00001 | 8
00004 | 1
00004 | 3
00001 | 3
 | 0
00001 | 5
 | 0
00001 | 2
00003 | 5
 | 0
00003 | 5
 | 0
 | 0
00001 | 5
00003 | 4
00007 | 5
 | 0
 | 0
 | 0
00002 | 8
 | 0
 | 0
00008 | 5
00008 | 4
 | 0
 | 0
00009 | 3
00002 | 5
00005 | 12
00003 | 4
00003 | 3
00003 | 9
00006 | 1
00008 | 2
00003 | 6
00001 | 3
00006 | 4
 | 0
00005 | 10
 | 0
00010 | 6
00007 | 10
 | 0
00010 | 3
 | 0
00002 | 4
 | 0
00009 | 9
00002 | 13
00010 | 9
00004 | 14
 | 0
00013 | 12
00001 | 6
00005 | 13
00003 | 1
00009 | 3
00011 | 5
00008 | 15
00003 | 7
00002 | 9
00002 | 4
00001 | 12
00010 | 5
00004 | 7
 | 0
00003 | 15
00009 | 4
00015 | 8
00012 | 4
00009 | 7
00010 | 2
00005 | 2
 | 0
00013 | 7
00002 | 10
00002 | 5
00008 | 1
00004 | 3
00011 | 8
00014 | 4
00011 | 12
 | 0
00004 | 10
00001 | 16
00007 | 6
00011 | 11
00011 | 6
00014 | 15
00004 | 7
00007 | 9
00018 | 11
00008 | 14
00003 | 14
00003 | 19
00011 | 22
00002 | 16
00013 | 7
00020 | 28
00017 | 13
00022 | 5
00018 | 13
00002 | 15
00006 | 9
00002 | 11
00011 | 15
00013 | 7
00008 | 8
00016 | 27
00018 | 7
00008 | 5
00002 | 19
00006 | 21
00006 | 10
00003 | 18
 | 0
00020 | 9
00002 | 19
00008 | 3
00027 | 16
00007 | 14
00003 | 6
00006 | 9
00013 | 10
00028 | 25
00024 | 6
00026 | 9
 | 0
00019 | 11
00001 | 16
00018 | 23
00007 | 22
00016 | 9
00010 | 3
00007 | 23
00021 | 9
00002 | 21
00001 | 13
00014 | 13
00003 | 22
00008 | 16
00004 | 20
00025 | 20
00013 | 18
00012 | 13
00017 | 11
00022 | 13
00009 | 5
00006 | 3
00026 | 5
00008 | 6
00011 | 16
00003 | 8
00027 | 18
00016 | 15
00012 | 13
00019 | 9
00018 | 7
00015 | 15
00025 | 10
00014 | 10
00002 | 11
00035 | 24
00010 | 24
00035 | 9
00001 | 7
00008 | 9
00007 | 18
00001 | 24
00005 | 13
